"match_id,inning,batting_team,bowling_team,over,ball,striker,bowler,non_striker,runs_by_batter,extra_runs,total_runs,extras_type,is_wicket,player_dismissed,dismissal_kind,fielder"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,16.0,6.0,BB McCullum,Z Khan,DJ Hussey,2.0,0.0,2.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,17.0,1.0,DJ Hussey,AA Noffke,BB McCullum,0.0,0.0,0.0,None,1,DJ Hussey,caught,CL White"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,17.0,2.0,BB McCullum,AA Noffke,Mohammad Hafeez,1.0,0.0,1.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,17.0,3.0,Mohammad Hafeez,AA Noffke,BB McCullum,0.0,0.0,0.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,17.0,4.0,Mohammad Hafeez,AA Noffke,BB McCullum,1.0,0.0,1.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,17.0,5.0,BB McCullum,AA Noffke,Mohammad Hafeez,4.0,0.0,4.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,17.0,6.0,BB McCullum,AA Noffke,Mohammad Hafeez,1.0,0.0,1.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,18.0,1.0,BB McCullum,JH Kallis,Mohammad Hafeez,6.0,0.0,6.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,18.0,2.0,BB McCullum,JH Kallis,Mohammad Hafeez,0.0,0.0,0.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,18.0,3.0,BB McCullum,JH Kallis,Mohammad Hafeez,6.0,0.0,6.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,18.0,4.0,BB McCullum,JH Kallis,Mohammad Hafeez,4.0,0.0,4.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,18.0,5.0,BB McCullum,JH Kallis,Mohammad Hafeez,1.0,0.0,1.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,18.0,6.0,Mohammad Hafeez,JH Kallis,BB McCullum,4.0,0.0,4.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,19.0,1.0,BB McCullum,P Kumar,Mohammad Hafeez,6.0,0.0,6.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,19.0,2.0,BB McCullum,P Kumar,Mohammad Hafeez,6.0,0.0,6.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,19.0,3.0,BB McCullum,P Kumar,Mohammad Hafeez,2.0,0.0,2.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,19.0,4.0,BB McCullum,P Kumar,Mohammad Hafeez,0.0,0.0,0.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,19.0,5.0,BB McCullum,P Kumar,Mohammad Hafeez,2.0,0.0,2.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,19.0,6.0,BB McCullum,P Kumar,Mohammad Hafeez,6.0,0.0,6.0,None,0,None,None,None"
"335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,0.0,1.0,R Dravid,AB Dinda,W Jaffer,1.0,0.0,1.0,None,0,None,None,None"
"335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,0.0,2.0,W Jaffer,AB Dinda,R Dravid,0.0,1.0,1.0,wides,0,None,None,None"
"335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,0.0,3.0,W Jaffer,AB Dinda,R Dravid,0.0,0.0,0.0,None,0,None,None,None"
"335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,0.0,4.0,W Jaffer,AB Dinda,R Dravid,1.0,0.0,1.0,None,0,None,None,None"
